Index,Title,RT Critic,RT User,IMDB User,TV_0,Print_0,TV_1,Print_1,Screens_1,BO_1,TV_2,Print_2,Screens_2,BO_2,TV_3,Print_3,Screens_3,BO_3,TV_4,Print_4,Screens_4,BO_4,TV_5,Print_5,Screens_5,BO_5,TV_6,Print_6,Screens_6,BO_6,TV_7,Print_7,Screens_7,BO_7,TV_8,Print_8,Screens_8,BO_8,TV_9,Print_9,Screens_9,BO_9,TV_10,Print_10,Screens_10,BO_10,Distributor,Genre,Runtime,MPAA Rating,Production Budget
54,Bright Star,0.82,0.68,7.0,78600,255900,252300,648900,13.42857143,237390,230900,931100,84.42857143,733190,10100,574600,205.4285714,763459,0,339200,271.85714289999993,710196,0,306700,236.4285714,468937,0,136300,170.0,264094,0,56000,109.57142859999999,161666,0,12600,70.71428571,91795,0,21100,45.28571429,61137,0,2700,40.0,8417,Apparition,Period Drama,1 hrs. 59 min.,PG,8500000.0
55,Brokeback Mountain,0.87,0.77,7.7,8000,214400,0,488100,5.857142857,962221,277000,873800,61.0,3524206,828500,1716400,178.71428569999998,4379510,1374900,1743100,225.0,5424366,709800,1841500,379.2857143,6805780,1051300,1897800,542.5714286,7686346,303500,1609000,955.7142857000001,8185524,169900,1543700,1325.142857,7715236,1339300,1736900,1605.714286,6253968,320800,2142200,1508.142857,4389167,Focus Features,Western,2 hrs. 15 min.,R,14000000.0
56,Broken English,0.64,0.61,6.3,0,16300,0,74800,7.0,83743,14400,78500,7.857142857,71376,40300,84500,14.85714286,108524,15700,118000,23.85714286,119927,0,98900,34.0,125858,0,42600,29.0,94886,0,39800,19.85714286,56380,0,31500,15.85714286,46847,0,4200,6.0,10893,0,0,2.0,4497,Magnolia,Romantic Comedy,1 hrs. 36 min.,PG-13,2000000.0
57,Broken Flowers,0.88,0.68,7.2,0,197800,76800,410800,26.0,1130843,509100,672200,78.0,1831526,197600,998100,290.57142860000005,2562067,0,617300,316.7142857,1794673,0,663100,309.2857143,1283290,0,385600,309.14285710000007,821696,0,272700,267.1428571,563664,0,150700,183.71428569999998,330210,0,51900,136.0,201908,0,12300,89.71428571,126656,Focus Features,Comedy,1 hrs. 46 min.,R,10000000.0
58,Buck,0.88,0.9,7.3,0,13600,0,71900,4.1428571430000005,95289,0,124800,50.71428571,406927,0,90000,116.0,689896,0,31300,130.2857143,516879,0,20200,110.2857143,398706,0,7800,96.28571429,337294,0,4800,87.71428571,229062,0,6400,85.57142857,215097,0,1500,65.85714286,134458,0,700,53.85714286,95189,IFC,Documentary,1 hrs. 28 min.,PG,
59,Buried,0.86,0.62,7.2,743600,118100,334600,284000,11.57142857,140295,5600,122100,33.57142857,133161,0,59600,65.28571429,197950,0,0,75.85714286,114260,0,0,58.71428571,48814,0,0,57.0,45430,0,0,24.85714286,17816,0,0,11.42857143,5904,0,0,2.0,692,0,0,1.5,283,Lionsgate,Thriller,1 hrs. 40 min.,R,3000000.0
60,Cairo Time,0.82,0.59,6.7,0,3100,0,9300,5.0,105562,0,60300,13.28571429,108790,0,23100,27.0,184427,0,29300,42.0,243001,0,23700,48.0,248359,0,14200,52.85714286,187790,0,11300,58.14285714,128463,0,5400,58.28571429,99346,0,1900,46.71428571,59922,0,0,31.0,25171,IFC,Romance,1 hrs. 28 min.,PG,
61,Capote,0.9,0.73,7.5,0,259500,0,241100,12.0,490683,0,266700,23.85714286,569828,174500,360000,30.0,509657,920200,542800,50.71428571,822929,443100,613800,142.71428569999998,1319759,873200,561500,157.71428569999998,1191985,63200,583000,231.4285714,1340042,114200,733300,252.5714286,1055028,40100,394800,212.8571429,960115,200,280200,198.8571429,598506,Sony Classics,Drama,1 hrs. 54 min.,R,7000000.0
62,Casanova,0.43,0.57,6.4,3266600,263300,3804200,1064600,32.0,641498,3283900,1405700,274.7142857,2878298,0,1388400,882.2857142999999,3370875,0,726100,813.7142857000001,2045258,400,133300,478.7142857,608435,0,10100,133.8571429,177385,0,0,55.85714286,38400,0,0,14.42857143,10074,0,0,5.428571429,3001,0,0,2.0,629,Buena Vista,Period Comedy,1 hrs. 52 min.,R,
63,Casino Jack,0.36,0.35,6.3,44000,67100,10800,333800,8.714285713999999,61262,0,246000,14.71428571,92655,0,182900,18.0,115046,0,325700,51.85714286,221385,0,163800,59.85714286,181229,0,61300,44.71428571,102011,0,36100,43.57142857,72786,0,11700,35.14285714,55011,0,3200,12.14285714,20274,0,5300,11.85714286,16284,ATO Pictures,Thriller,1 hrs. 48 min.,R,15000000.0
